ID,Engagement Tactic,Resident,Rent/Own,Children,Lived in Silverton,Age,Community,Race or Ethnicity,Household Income,Filled out before,notes
1,Interviews,Fulltime,Own,,,60 years or greater,Silverton Proper,White,"$75,000 +",,
2,Interviews,Fulltime,Rent,,,20 to 39 years,Silverton Proper,White,"Less than $34,999",,
3,Interviews,Fulltime,Own,,,60 years or greater,Silverton Proper,White,"$75,000 +",,
4,Interviews,Fulltime,Own,,,60 years or greater,Silverton Proper,White,"$50,000 to $74,999",,
5,Interviews,Fulltime,Rent,,,60 years or greater,Silverton Proper,American Indian or Alaska Native,"$50,000 to $74,999",,
6,Groups,Fulltime,Own,,,20 to 39 years,Silverton Proper,American Indian or Alaska Native,"$75,000 +",,
7,Interviews,Fulltime,Own,,,40 to 59 years,Silverton Proper,White,"$75,000 +",,
8,Interviews,Fulltime,Own,,,40 to 59 years,Silverton Proper,White,,,
9,Groups,Fulltime,Own,,,60 years or greater,Silverton Proper,White,"$35,000 to $49,999",,
10,Groups,Fulltime,Own,,,40 to 59 years,Silverton Proper,White,"$75,000 +",,
11,Groups,Fulltime,Own,,,60 years or greater,Silverton Proper,White,"$75,000 +",,
12,Groups,Fulltime,Own,,,60 years or greater,Silverton Proper,White,,,
13,Groups,Fulltime,Rent,,,40 to 59 years,Silverton Proper,White,"$35,000 to $49,999",,
14,Groups,Fulltime,,,,,,,,,
15,Groups,Fulltime,Own,,,60 years or greater,Silverton Proper,White,"$75,000 +",,
16,Groups,Fulltime,Rent,,,20 to 39 years,Silverton Proper,Hispanic or Latino origin,"$35,000 to $49,999",,
17,Groups,Fulltime,Rent,,,40 to 59 years,Silverton Proper,White,"Less than $34,999",,Rent-ish- can't afford/find rentals so I couch-surf
18,Groups,Fulltime,Own,,,20 to 39 years,Silverton Proper,White,"$50,000 to $74,999",,
19,Groups,Fulltime,Own,,,60 years or greater,Silverton Proper,White,,,Retired
20,Groups,Fulltime,Rent,,,20 to 39 years,Silverton Proper,Other,"$35,000 to $49,999",,
21,Groups,,,,,,,,,,
22,Groups,Fulltime,Own,,,40 to 59 years,Silverton Proper,White,"$50,000 to $74,999",,
25,Interviews,Fulltime,Own,,,20 to 39 years,Silverton Proper,White,"$35,000 to $49,999",,
27,Interviews,Fulltime,,,,40 to 59 years,Silverton Proper,White,"Less than $34,999",,
28,Interviews,Fulltime,Own,,,20 to 39 years,Silverton Proper,White,"$75,000 +",,
29,Interviews,Fulltime,,,,20 to 39 years,Silverton Proper,Other,"$75,000 +",,
31,Interviews,,,,,,,,,,
32,Interviews,Fulltime,Own,,,20 to 39 years,Silverton Proper,White,"$35,000 to $49,999",,
36,Interviews,Fulltime,Rent,,,40 to 59 years,Silverton Proper,Hispanic or Latino origin,"Less than $34,999",,"income is much less than $34,999"
37,Interviews,Fulltime,Rent,,,20 to 39 years,Silverton Proper,Hispanic or Latino origin,"Less than $34,999",,
