id,response_id,question,raw_response,category,theme,subtheme,media,group_name,tactic,notes,language,change_comb
140_c_seb,140,chang_sense_n,"A huge ski area. Expensive housing and amenities. Each time a new group of people move here, they want differnt social type events. Theater? Art? Skateboarding? etc. These ideas do not necessarily bring long term local to join. At that point everyone is dissatisfied. Divisiveness?",change_questions,sense of place and community,becoming ski resort town,,,,,,change_place
140_c_seh,140,chang_sense_n,"A huge ski area. Expensive housing and amenities. Each time a new group of people move here, they want differnt social type events. Theater? Art? Skateboarding? etc. These ideas do not necessarily bring long term local to join. At that point everyone is dissatisfied. Divisiveness?",change_questions,sense of place and community,housing affordability (rental/own,,,,,,change_place
140_c_ses,140,chang_sense_n,"A huge ski area. Expensive housing and amenities. Each time a new group of people move here, they want differnt social type events. Theater? Art? Skateboarding? etc. These ideas do not necessarily bring long term local to join. At that point everyone is dissatisfied. Divisiveness?",change_questions,sense of place and community,special events,,,,,,change_place
140_c_sea,140,chang_sense_n,"A huge ski area. Expensive housing and amenities. Each time a new group of people move here, they want differnt social type events. Theater? Art? Skateboarding? etc. These ideas do not necessarily bring long term local to join. At that point everyone is dissatisfied. Divisiveness?",change_questions,sense of place and community,arts and culture,,,,,,change_place
140_c_sed,140,chang_sense_n,"A huge ski area. Expensive housing and amenities. Each time a new group of people move here, they want differnt social type events. Theater? Art? Skateboarding? etc. These ideas do not necessarily bring long term local to join. At that point everyone is dissatisfied. Divisiveness?",change_questions,sense of place and community,divisiveness,,,,,,change_place
140_c_sey,140,chang_sense_n,"A huge ski area. Expensive housing and amenities. Each time a new group of people move here, they want differnt social type events. Theater? Art? Skateboarding? etc. These ideas do not necessarily bring long term local to join. At that point everyone is dissatisfied. Divisiveness?",change_questions,sense of place and community,year-round economy,,,,,,change_place
141_c_sed,141,chang_sense_n,Continued bickering that spills from inside out - egg analogy. No grants or clean up maintenance due to shortage of workstaff finds ,change_questions,sense of place and community,divisiveness,,,,,,change_place
141_c_sel,141,chang_sense_n,Continued bickering that spills from inside out - egg analogy. No grants or clean up maintenance due to shortage of workstaff finds ,change_questions,sense of place and community,local government budgeting,,,,,,change_place
141_c_sel,141,chang_sense_n,Continued bickering that spills from inside out - egg analogy. No grants or clean up maintenance due to shortage of workstaff finds ,change_questions,sense of place and community,lack of workforce,,,,,,change_place
148_c_sed,148,chang_sense_n,"Continued fighting (which is different from debating), strong factions or groups - making people feel they have to join a sub-community in ordder to survive. Out migration of locals ",change_questions,sense of place and community,divisiveness,,,,,,change_place
149_c_seg,149,chang_sense_n,"User groups being marginalized or pushed out, paved streets, losing the historic charm ",change_questions,sense of place and community,gentrification,,,,,,change_place
149_c_seh,149,chang_sense_n,"User groups being marginalized or pushed out, paved streets, losing the historic charm ",change_questions,sense of place and community,historic preservation,,,,,,change_place
149_c_sed,149,chang_sense_n,"User groups being marginalized or pushed out, paved streets, losing the historic charm ",change_questions,sense of place and community,dbie,,,,,,change_place
161_c_sed,161,chang_sense_n,"From where I sit today, it can't get much worse.",change_questions,sense of place and community,divisiveness,,,,,,change_place
229_c_sed,229,chang_sense_n,"There are people here to make $ vs. people here to make a living. Too many cliques. Not enough community events. More recalls and referunda. Develop our own. Elected officials ""too responsible"" - ? More meaningful community engagement - forward thinking",change_questions,sense of place and community,diversified economy,,,,,,change_place
229_c_sed,229,chang_sense_n,"There are people here to make $ vs. people here to make a living. Too many cliques. Not enough community events. More recalls and referunda. Develop our own. Elected officials ""too responsible"" - ? More meaningful community engagement - forward thinking",change_questions,sense of place and community,divisiveness,,,,,,change_place
229_c_ses,229,chang_sense_n,"There are people here to make $ vs. people here to make a living. Too many cliques. Not enough community events. More recalls and referunda. Develop our own. Elected officials ""too responsible"" - ? More meaningful community engagement - forward thinking",change_questions,sense of place and community,special events,,,,,,change_place
229_c_sel,229,chang_sense_n,"There are people here to make $ vs. people here to make a living. Too many cliques. Not enough community events. More recalls and referunda. Develop our own. Elected officials ""too responsible"" - ? More meaningful community engagement - forward thinking",change_questions,sense of place and community,local government budgeting,,,,,,change_place
232_c_sed,232,chang_sense_n,Continued isolation.,change_questions,sense of place and community,divisiveness,,,,,,change_place
233_c_seg,233,chang_sense_n,"pushing people out/having to leave. Fast, unplanned growth w/o intentionality and vision. Divisive, singular decisions - not based on common interests. Lose quality of life/dangers to environment ($, housing)",change_questions,sense of place and community,gentrification,,,,,,change_place
233_c_seu,233,chang_sense_n,"pushing people out/having to leave. Fast, unplanned growth w/o intentionality and vision. Divisive, singular decisions - not based on common interests. Lose quality of life/dangers to environment ($, housing)",change_questions,sense of place and community,uncontrolled growth,,,,,,change_place
233_c_see,233,chang_sense_n,"pushing people out/having to leave. Fast, unplanned growth w/o intentionality and vision. Divisive, singular decisions - not based on common interests. Lose quality of life/dangers to environment ($, housing)",change_questions,sense of place and community,environmental degradation,,,,,,change_place
233_c_sem,233,chang_sense_n,"pushing people out/having to leave. Fast, unplanned growth w/o intentionality and vision. Divisive, singular decisions - not based on common interests. Lose quality of life/dangers to environment ($, housing)",change_questions,sense of place and community,master plan,,,,,,change_place
233_c_seh,233,chang_sense_n,"pushing people out/having to leave. Fast, unplanned growth w/o intentionality and vision. Divisive, singular decisions - not based on common interests. Lose quality of life/dangers to environment ($, housing)",change_questions,sense of place and community,housing affordability (rental/own,,,,,,change_place
234_c_ses,234,chang_sense_n,"Influx of 2nd homeowners, influx of remote workers who aren't here to contribute to community, pricing out of town, not making updates to build resilience",change_questions,sense of place and community,second homes,,,,,,change_place
234_c_sew,234,chang_sense_n,"Influx of 2nd homeowners, influx of remote workers who aren't here to contribute to community, pricing out of town, not making updates to build resilience",change_questions,sense of place and community,workforce skill set,,,,,,change_place
234_c_seg,234,chang_sense_n,"Influx of 2nd homeowners, influx of remote workers who aren't here to contribute to community, pricing out of town, not making updates to build resilience",change_questions,sense of place and community,gentrification,,,,,,change_place
234_c_ses,234,chang_sense_n,"Influx of 2nd homeowners, influx of remote workers who aren't here to contribute to community, pricing out of town, not making updates to build resilience",change_questions,sense of place and community,sustainability,,,,,,change_place
235_c_sed,235,chang_sense_n,"More division, more second homes/vacation rentals, pushing people out/losing our diversity, fewer young(ish) families/less kids at school ",change_questions,sense of place and community,divisiveness,,,,,,change_place
235_c_ses,235,chang_sense_n,"More division, more second homes/vacation rentals, pushing people out/losing our diversity, fewer young(ish) families/less kids at school ",change_questions,sense of place and community,second homes,,,,,,change_place
235_c_sef,235,chang_sense_n,"More division, more second homes/vacation rentals, pushing people out/losing our diversity, fewer young(ish) families/less kids at school ",change_questions,sense of place and community,family friendly,,,,,,change_place
235_c_see,235,chang_sense_n,"More division, more second homes/vacation rentals, pushing people out/losing our diversity, fewer young(ish) families/less kids at school ",change_questions,sense of place and community,education,,,,,,change_place
236_c_sed,236,chang_sense_n,"People isolate themselves, people stop associating w/ people they disagree with, we dissolve into total negativity, people who have been here a long time leave ",change_questions,sense of place and community,divisiveness,,,,,,change_place
236_c_sec,236,chang_sense_n,"People isolate themselves, people stop associating w/ people they disagree with, we dissolve into total negativity, people who have been here a long time leave ",change_questions,sense of place and community,civic participation,,,,,,change_place
236_c_seg,236,chang_sense_n,"People isolate themselves, people stop associating w/ people they disagree with, we dissolve into total negativity, people who have been here a long time leave ",change_questions,sense of place and community,gentrification,,,,,,change_place
237_c_ses,237,chang_sense_n,"Vacant homes used 2 weekends/year, becoming the weekend getaway ",change_questions,sense of place and community,second homes,,,,,,change_place
237_c_set,237,chang_sense_n,"Vacant homes used 2 weekends/year, becoming the weekend getaway ",change_questions,sense of place and community,tourism,,,,,,change_place
238_c_ses,238,chang_sense_n,"Retirement, 2nd home community, motorized vehicles run rampant, continued divisiveness ",change_questions,sense of place and community,second homes,,,,,,change_place
238_c_seo,238,chang_sense_n,"Retirement, 2nd home community, motorized vehicles run rampant, continued divisiveness ",change_questions,sense of place and community,ohvs,,,,,,change_place
238_c_sed,238,chang_sense_n,"Retirement, 2nd home community, motorized vehicles run rampant, continued divisiveness ",change_questions,sense of place and community,divisiveness,,,,,,change_place
240_c_sel,240,chang_sense_n,"More referenda and recalls, lack of civic involvement",change_questions,sense of place and community,local government budgeting,,,,,,change_place
240_c_sec,240,chang_sense_n,"More referenda and recalls, lack of civic involvement",change_questions,sense of place and community,civic participation,,,,,,change_place
243_c_ses,243,chang_sense_n,More seasonal folks,change_questions,sense of place and community,second homes,,,,,,change_place
244_c_sef,244,chang_sense_n,"Kids not running around, another pizza joint, paved roads, abolish of rock sale, disease of kids working (?)",change_questions,sense of place and community,family friendly,,,,,,change_place
244_c_sed,244,chang_sense_n,"Kids not running around, another pizza joint, paved roads, abolish of rock sale, disease of kids working (?)",change_questions,sense of place and community,diversified economy,,,,,,change_place
244_c_sew,244,chang_sense_n,"Kids not running around, another pizza joint, paved roads, abolish of rock sale, disease of kids working (?)",change_questions,sense of place and community,workforce skill set,,,,,,change_place
246_c_ses,246,chang_sense_n,"Too many second homeowners, lack of knowing ones neighbor",change_questions,sense of place and community,second homes,,,,,,change_place
246_c_sec,246,chang_sense_n,"Too many second homeowners, lack of knowing ones neighbor",change_questions,sense of place and community,community closeness (opposite of divisiveness),,,,,,change_place
150_c_ecw,150,change_econ_n,"Golden goose egg - we put all attention and energy into one thing (train, OHV) and don't try to expand interests. Relying on small stores to be able to supply year round employment - these are generally low paying jobs to begin with ",change_questions,economy ,wages,,,,,,change_econ
150_c_ecy,150,change_econ_n,"Golden goose egg - we put all attention and energy into one thing (train, OHV) and don't try to expand interests. Relying on small stores to be able to supply year round employment - these are generally low paying jobs to begin with ",change_questions,economy ,year-round economy,,,,,,change_econ
150_c_ecd,150,change_econ_n,"Golden goose egg - we put all attention and energy into one thing (train, OHV) and don't try to expand interests. Relying on small stores to be able to supply year round employment - these are generally low paying jobs to begin with ",change_questions,economy ,diversified economy,,,,,,change_econ
151_c_ech,151,change_econ_n,Continuing the cycle. More airbnb's and short term rentals. Allowing corporations and LLCs to buy housing. All new businesses are tourist traps. We need year round businesses to support a talented year round population and economy.,change_questions,economy ,housing stock,,,,,,change_econ
151_c_ect,151,change_econ_n,Continuing the cycle. More airbnb's and short term rentals. Allowing corporations and LLCs to buy housing. All new businesses are tourist traps. We need year round businesses to support a talented year round population and economy.,change_questions,economy ,tourism,,,,,,change_econ
151_c_ecj,151,change_econ_n,Continuing the cycle. More airbnb's and short term rentals. Allowing corporations and LLCs to buy housing. All new businesses are tourist traps. We need year round businesses to support a talented year round population and economy.,change_questions,economy ,job availability,,,,,,change_econ
151_c_ecy,151,change_econ_n,Continuing the cycle. More airbnb's and short term rentals. Allowing corporations and LLCs to buy housing. All new businesses are tourist traps. We need year round businesses to support a talented year round population and economy.,change_questions,economy ,year-round economy,,,,,,change_econ
153_c_ecl,153,change_econ_n,Focus on more tourism - too many eggs in one basket. Not inclusive or available to all. Economy that relies on infrastructure we don't have or can't realistically build capacity for. Expansion of minimum wage jobs/industry. Requires bringing a workforce in (not avail to local),change_questions,economy ,lack of workforce,,,,,,change_econ
153_c_in,153,change_econ_n,Focus on more tourism - too many eggs in one basket. Not inclusive or available to all. Economy that relies on infrastructure we don't have or can't realistically build capacity for. Expansion of minimum wage jobs/industry. Requires bringing a workforce in (not avail to local),change_questions,infrastructure,,,,,,,change_econ
153_c_ecd,153,change_econ_n,Focus on more tourism - too many eggs in one basket. Not inclusive or available to all. Economy that relies on infrastructure we don't have or can't realistically build capacity for. Expansion of minimum wage jobs/industry. Requires bringing a workforce in (not avail to local),change_questions,economy ,dbie,,,,,,change_econ
153_c_ect,153,change_econ_n,Focus on more tourism - too many eggs in one basket. Not inclusive or available to all. Economy that relies on infrastructure we don't have or can't realistically build capacity for. Expansion of minimum wage jobs/industry. Requires bringing a workforce in (not avail to local),change_questions,economy ,tourism,,,,,,change_econ
154_c_ecd,154,change_econ_n,"More gift shops that all offer similar goods/similar times of year. Increased cost of living (ie rent, local groceries), more w/ less growth, population",change_questions,economy ,diversified economy,,,,,,change_econ
154_c_ecy,154,change_econ_n,"More gift shops that all offer similar goods/similar times of year. Increased cost of living (ie rent, local groceries), more w/ less growth, population",change_questions,economy ,year-round economy,,,,,,change_econ
154_c_eca,154,change_econ_n,"More gift shops that all offer similar goods/similar times of year. Increased cost of living (ie rent, local groceries), more w/ less growth, population",change_questions,economy ,affordable groceries,,,,,,change_econ
154_c_ecp,154,change_econ_n,"More gift shops that all offer similar goods/similar times of year. Increased cost of living (ie rent, local groceries), more w/ less growth, population",change_questions,economy ,population growth,,,,,,change_econ
156_c_ecy,156,change_econ_n,More people opening summer only businesses and vacation rental properties. People investing in Silverton only and not living in Silverton or attracting year round residences,change_questions,economy ,year-round economy,,,,,,change_econ
156_c_ecs,156,change_econ_n,More people opening summer only businesses and vacation rental properties. People investing in Silverton only and not living in Silverton or attracting year round residences,change_questions,economy ,second homes,,,,,,change_econ
156_c_ecl,156,change_econ_n,More people opening summer only businesses and vacation rental properties. People investing in Silverton only and not living in Silverton or attracting year round residences,change_questions,economy ,localized economy,,,,,,change_econ
198_c_ecl,198,change_econ_n,"Lack of available workforce would stifle diversity in services, population increase should match economic growth, harm to natural beauty/cultural heritage sites, infrastructure overload ",change_questions,economy ,lack of workforce,,,,,,change_econ
198_c_ecd,198,change_econ_n,"Lack of available workforce would stifle diversity in services, population increase should match economic growth, harm to natural beauty/cultural heritage sites, infrastructure overload ",change_questions,economy ,diversified economy,,,,,,change_econ
198_c_ecp,198,change_econ_n,"Lack of available workforce would stifle diversity in services, population increase should match economic growth, harm to natural beauty/cultural heritage sites, infrastructure overload ",change_questions,economy ,population growth,,,,,,change_econ
198_c_ece,198,change_econ_n,"Lack of available workforce would stifle diversity in services, population increase should match economic growth, harm to natural beauty/cultural heritage sites, infrastructure overload ",change_questions,economy ,environmental degradation,,,,,,change_econ
198_c_ech,198,change_econ_n,"Lack of available workforce would stifle diversity in services, population increase should match economic growth, harm to natural beauty/cultural heritage sites, infrastructure overload ",change_questions,economy ,historic preservation,,,,,,change_econ
198_c_in,198,change_econ_n,"Lack of available workforce would stifle diversity in services, population increase should match economic growth, harm to natural beauty/cultural heritage sites, infrastructure overload ",change_questions,infrastructure,,,,,,,change_econ
198_c_ece,198,change_econ_n,"Lack of available workforce would stifle diversity in services, population increase should match economic growth, harm to natural beauty/cultural heritage sites, infrastructure overload ",change_questions,economy ,environmental degradation,,,,,,change_econ
199_c_eci,199,change_econ_n,"Crappy internet service, town shuts down all winter, residents feel like they ""fake it' for a few summer owners ",change_questions,economy ,internet,,,,,,change_econ
